freq,c_resid,nace_r2,month,unit,geo\TIME_PERIOD,2020,2021,2022,2023,2024
A,DOM,I551-I553,M08,NR,ITH3,5442903.0,5701167.0,4437311.0,4239202.0,4151875.0
A,DOM,I551-I553,M08,NR,ITH4,1020120.0,1072579.0,931200.0,853095.0,843980.0
A,DOM,I551-I553,M08,NR,ITH5,6870055.0,7415322.0,6916362.0,6492003.0,6478591.0
A,DOM,I551-I553,M08,NR,ITI1,5674384.0,5836107.0,5012778.0,4710958.0,4645922.0
A,DOM,I551-I553,M08,NR,ITI2,931465.0,973413.0,807549.0,733577.0,746004.0
A,DOM,I551-I553,M08,NR,ITI3,2490927.0,2742381.0,2565971.0,2342149.0,2298122.0
A,DOM,I551-I553,M08,NR,ITI4,1040610.0,833469.0,1557888.0,1671543.0,1596198.0
A,DOM,I551-I553,M09,NR,ITC1,464710.0,564351.0,575988.0,587829.0,551428.0
A,DOM,I551-I553,M09,NR,ITC2,108164.0,110614.0,119199.0,120486.0,113496.0
A,DOM,I551-I553,M09,NR,ITC3,964894.0,1061276.0,939998.0,970885.0,918894.0
A,DOM,I551-I553,M09,NR,ITC4,953629.0,1412960.0,1389689.0,1286979.0,1278161.0
A,DOM,I551-I553,M09,NR,ITF1,442628.0,503124.0,501600.0,522222.0,518648.0
A,DOM,I551-I553,M09,NR,ITF2,33394.0,40786.0,30510.0,43251.0,32292.0
A,DOM,I551-I553,M09,NR,ITF3,884566.0,1112835.0,1009138.0,1061943.0,934820.0
A,DOM,I551-I553,M09,NR,ITF4,1369954.0,1600069.0,1296034.0,1280301.0,1259521.0
A,DOM,I551-I553,M09,NR,ITF5,201253.0,220431.0,196430.0,246089.0,204767.0
A,DOM,I551-I553,M09,NR,ITF6,552515.0,618205.0,618356.0,601959.0,726486.0
A,DOM,I551-I553,M09,NR,ITG1,940608.0,1038148.0,1111114.0,1042744.0,1026335.0
A,DOM,I551-I553,M09,NR,ITG2,751245.0,1048606.0,1104373.0,1009080.0,1084681.0
A,DOM,I551-I553,M09,NR,ITH1,699140.0,734411.0,624398.0,612564.0,588963.0
A,DOM,I551-I553,M09,NR,ITH2,708874.0,842776.0,788801.0,799373.0,775450.0
A,DOM,I551-I553,M09,NR,ITH3,2047830.0,2556347.0,1915391.0,2014837.0,1850191.0
A,DOM,I551-I553,M09,NR,ITH4,322627.0,410408.0,363929.0,364790.0,355510.0
A,DOM,I551-I553,M09,NR,ITH5,2262805.0,2746438.0,2537171.0,2704540.0,2526056.0
A,DOM,I551-I553,M09,NR,ITI1,2212485.0,2384343.0,2085691.0,2064629.0,1892098.0
A,DOM,I551-I553,M09,NR,ITI2,366368.0,444643.0,382809.0,411691.0,372695.0
A,DOM,I551-I553,M09,NR,ITI3,820849.0,908534.0,818076.0,866472.0,793365.0
A,DOM,I551-I553,M09,NR,ITI4,727371.0,641211.0,1287754.0,1287497.0,1285004.0
A,DOM,I551-I553,M10,NR,ITC1,378631.0,587883.0,611922.0,533076.0,510312.0
A,DOM,I551-I553,M10,NR,ITC2,37654.0,67060.0,71225.0,60478.0,53282.0
A,DOM,I551-I553,M10,NR,ITC3,278550.0,415477.0,443600.0,420193.0,374968.0
A,DOM,I551-I553,M10,NR,ITC4,764761.0,1343204.0,1422234.0,1183386.0,1170581.0
A,DOM,I551-I553,M10,NR,ITF1,97280.0,135244.0,187221.0,187029.0,216043.0
A,DOM,I551-I553,M10,NR,ITF2,16347.0,18281.0,18506.0,17590.0,14107.0
A,DOM,I551-I553,M10,NR,ITF3,291654.0,622822.0,695354.0,632940.0,742838.0
A,DOM,I551-I553,M10,NR,ITF4,278595.0,378729.0,377131.0,340042.0,372909.0
A,DOM,I551-I553,M10,NR,ITF5,57953.0,77574.0,78880.0,80211.0,78629.0
A,DOM,I551-I553,M10,NR,ITF6,77602.0,128717.0,89283.0,99129.0,134387.0
A,DOM,I551-I553,M10,NR,ITG1,341294.0,410766.0,491252.0,513235.0,490320.0
A,DOM,I551-I553,M10,NR,ITG2,122750.0,183542.0,258446.0,202711.0,260105.0
A,DOM,I551-I553,M10,NR,ITH1,262474.0,372118.0,338829.0,272200.0,269079.0
A,DOM,I551-I553,M10,NR,ITH2,188423.0,290081.0,301581.0,245887.0,246383.0
A,DOM,I551-I553,M10,NR,ITH3,882450.0,1478255.0,1256890.0,1124560.0,1076846.0
A,DOM,I551-I553,M10,NR,ITH4,145019.0,207335.0,212828.0,205393.0,218560.0
A,DOM,I551-I553,M10,NR,ITH5,732924.0,1171305.0,1164830.0,1064929.0,1081742.0
A,DOM,I551-I553,M10,NR,ITI1,704458.0,1113146.0,1130185.0,896428.0,823814.0
A,DOM,I551-I553,M10,NR,ITI2,203834.0,394722.0,394332.0,335120.0,336416.0
A,DOM,I551-I553,M10,NR,ITI3,228104.0,263290.0,307610.0,332149.0,330477.0
A,DOM,I551-I553,M10,NR,ITI4,516609.0,979224.0,1244188.0,1152210.0,1226357.0
A,DOM,I551-I553,M11,NR,ITC1,203631.0,500264.0,511000.0,517633.0,542639.0
A,DOM,I551-I553,M11,NR,ITC2,11513.0,52737.0,48003.0,55496.0,67554.0
A,DOM,I551-I553,M11,NR,ITC3,140261.0,240075.0,247035.0,256810.0,312873.0
A,DOM,I551-I553,M11,NR,ITC4,398937.0,1192324.0,1248071.0,1127238.0,1282616.0
A,DOM,I551-I553,M11,NR,ITF1,46926.0,95181.0,151994.0,164193.0,162832.0
A,DOM,I551-I553,M11,NR,ITF2,8931.0,13549.0,13595.0,16109.0,12523.0
A,DOM,I551-I553,M11,NR,ITF3,85448.0,323313.0,409777.0,425180.0,486095.0
A,DOM,I551-I553,M11,NR,ITF4,109709.0,210723.0,231660.0,235365.0,290765.0
A,DOM,I551-I553,M11,NR,ITF5,17653.0,46949.0,45649.0,58152.0,59282.0
A,DOM,I551-I553,M11,NR,ITF6,33659.0,103936.0,62268.0,69589.0,81566.0
A,DOM,I551-I553,M11,NR,ITG1,114318.0,229125.0,269116.0,312723.0,306941.0
A,DOM,I551-I553,M11,NR,ITG2,72296.0,81901.0,101836.0,96077.0,109780.0
A,DOM,I551-I553,M11,NR,ITH1,64241.0,254742.0,249090.0,254156.0,335807.0
A,DOM,I551-I553,M11,NR,ITH2,75669.0,157175.0,158934.0,174204.0,227775.0
A,DOM,I551-I553,M11,NR,ITH3,480547.0,991718.0,952992.0,1010576.0,1169343.0
A,DOM,I551-I553,M11,NR,ITH4,83933.0,145672.0,155547.0,164423.0,198228.0
A,DOM,I551-I553,M11,NR,ITH5,410881.0,814257.0,870306.0,927287.0,1046770.0
A,DOM,I551-I553,M11,NR,ITI1,290176.0,697891.0,694272.0,769558.0,822026.0
A,DOM,I551-I553,M11,NR,ITI2,63782.0,213806.0,214655.0,247083.0,329960.0
A,DOM,I551-I553,M11,NR,ITI3,157511.0,185304.0,248314.0,272748.0,312071.0
A,DOM,I551-I553,M11,NR,ITI4,251139.0,922000.0,1180643.0,1306107.0,1435466.0
A,DOM,I551-I553,M12,NR,ITC1,206824.0,498646.0,564692.0,568083.0,547849.0
A,DOM,I551-I553,M12,NR,ITC2,10115.0,190405.0,203487.0,234634.0,208517.0
A,DOM,I551-I553,M12,NR,ITC3,127482.0,300746.0,322106.0,342137.0,338890.0
A,DOM,I551-I553,M12,NR,ITC4,435610.0,1298979.0,1367812.0,1267925.0,1289414.0
A,DOM,I551-I553,M12,NR,ITF1,39752.0,134507.0,205478.0,226815.0,220512.0
A,DOM,I551-I553,M12,NR,ITF2,6982.0,16828.0,14244.0,15308.0,10023.0
A,DOM,I551-I553,M12,NR,ITF3,77167.0,350909.0,471959.0,480044.0,495500.0
A,DOM,I551-I553,M12,NR,ITF4,99749.0,223536.0,260130.0,263264.0,283598.0
A,DOM,I551-I553,M12,NR,ITF5,15971.0,57138.0,58741.0,73606.0,60464.0
