freq,unit,sex,age,geo\TIME_PERIOD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,NR,T,TOTAL,ITC1,4324173.0,4307852.0,4298884.0,,,,,,,,4225083.0,4219421.0,4212726.0,4222134.0,4260654.0,4284486.0,4296203.0,4306018.0,4358273.0,4389110.0,4401572.0,4410887.0,4416745.0,4425816.0,4420924.0,4403562.0,4384226.0,4370348.0,4349911.0,4328565.0,4311217.0,4274945.0,4256350.0,4251351.0,4251623.0,4251868.0
A,NR,T,TOTAL,ITC2,114409.0,115275.0,115897.0,,,,,,,,118861.0,119273.0,119347.0,120383.0,121692.0,122799.0,123839.0,124636.0,125658.0,126515.0,126957.0,127153.0,127305.0,127951.0,128245.0,127972.0,127030.0,126677.0,126213.0,125653.0,125034.0,124089.0,123360.0,123130.0,122877.0,122532.0
A,NR,T,TOTAL,ITC3,1694410.0,1684514.0,1674115.0,,,,,,,,1587787.0,1578998.0,1570152.0,1568193.0,1572910.0,1580613.0,1580900.0,1580814.0,1583449.0,1589802.0,1591537.0,1592593.0,1590096.0,1587322.0,1580322.0,1569427.0,1557742.0,1551379.0,1541541.0,1532980.0,1524826.0,1518495.0,1509227.0,1507636.0,1509140.0,1510143.0
A,NR,T,TOTAL,ITC4,8837150.0,8849595.0,8860344.0,,,,,,,,8971148.0,9004084.0,9033909.0,9082295.0,9173501.0,9299835.0,9370827.0,9431541.0,9517477.0,9603804.0,9670614.0,9746113.0,9811011.0,9877541.0,9929769.0,9954769.0,9958447.0,9970419.0,9986962.0,10010833.0,10027602.0,9981554.0,9943004.0,9976509.0,10012054.0,10033918.0
A,NR,T,TOTAL,ITF1,1243014.0,1245844.0,1249584.0,,,,,,,,1261117.0,1261300.0,1262187.0,1267633.0,1278658.0,1287157.0,1292999.0,1296869.0,1311307.0,1321887.0,1326015.0,1329220.0,1331624.0,1332583.0,1329918.0,1325836.0,1319294.0,1313930.0,1306059.0,1300645.0,1293941.0,1281012.0,1275950.0,1272627.0,1269571.0,1269118.0
A,NR,T,TOTAL,ITF2,330382.0,330557.0,330614.0,,,,,,,,322772.0,321468.0,320190.0,320381.0,320359.0,319728.0,318452.0,317337.0,317657.0,317082.0,315939.0,314816.0,313916.0,313408.0,312897.0,311398.0,310026.0,308400.0,306564.0,303790.0,300516.0,294294.0,292150.0,290636.0,289224.0,287814.0
A,NR,T,TOTAL,ITF3,5607965.0,5621030.0,5631659.0,,,,,,,,5717694.0,5708137.0,5699962.0,5704903.0,5731441.0,5759450.0,5763419.0,5766263.0,5785045.0,5792087.0,5807464.0,5822827.0,5827593.0,5820430.0,5812768.0,5804370.0,5790783.0,5776654.0,5762889.0,5740291.0,5712143.0,5624260.0,5624420.0,5609536.0,5593906.0,5582337.0
A,NR,T,TOTAL,ITF4,4013227.0,4025392.0,4031516.0,,,,,,,,4034887.0,4026054.0,4020694.0,4025113.0,4034841.0,4048188.0,4053780.0,4057440.0,4071244.0,4080149.0,4090111.0,4101558.0,4102797.0,4090530.0,4077788.0,4063269.0,4043735.0,4024067.0,4000966.0,3975528.0,3953305.0,3933777.0,3922941.0,3907683.0,3890661.0,3877395.0
A,NR,T,TOTAL,ITF5,611029.0,610970.0,610393.0,,,,,,,,601399.0,599404.0,597103.0,595269.0,594505.0,593185.0,590111.0,586531.0,586093.0,584910.0,582618.0,580790.0,579360.0,577550.0,575814.0,573236.0,569887.0,566405.0,562968.0,558587.0,553254.0,545130.0,541168.0,537577.0,533233.0,530004.0
A,NR,T,TOTAL,ITF6,2080660.0,2075886.0,2068984.0,,,,,,,,2028592.0,2018722.0,2008185.0,1999767.0,2000597.0,1992027.0,1981950.0,1971937.0,1979067.0,1976547.0,1973624.0,1972049.0,1968536.0,1962430.0,1958226.0,1951733.0,1943085.0,1935097.0,1924257.0,1912021.0,1894110.0,1860601.0,1855454.0,1846610.0,1838568.0,1834646.0
