freq,unit,sex,age,icd10,geo\TIME_PERIOD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,RT,F,TOTAL,A_B,ITF4,14.39,17.67,14.69,16.71,22.12,17.62,20.0,20.57,23.14,21.63,25.49,28.59,34.33
A,RT,F,TOTAL,A_B,ITF5,17.55,22.75,13.58,16.29,23.54,21.29,27.66,28.67,29.73,25.08,28.27,28.88,35.79
A,RT,F,TOTAL,A_B,ITF6,11.97,13.34,14.07,16.98,14.27,14.13,17.6,16.03,17.11,15.32,16.42,18.31,24.9
A,RT,F,TOTAL,A_B,ITG1,11.34,11.46,11.3,12.89,14.81,13.18,13.9,14.78,17.35,15.55,16.55,19.4,20.22
A,RT,F,TOTAL,A_B,ITG2,16.09,14.8,18.96,18.03,22.21,21.11,24.53,22.73,26.51,21.2,20.12,27.53,32.69
A,RT,F,TOTAL,A_B,ITH1,12.45,15.15,10.38,14.12,18.23,10.58,12.4,14.96,13.78,19.68,10.78,15.62,15.92
A,RT,F,TOTAL,A_B,ITH2,17.75,31.45,20.16,20.4,24.01,16.73,22.18,15.22,16.6,16.28,17.45,19.28,23.58
A,RT,F,TOTAL,A_B,ITH3,18.6,17.86,22.15,21.35,28.71,23.81,25.73,28.82,27.93,28.22,29.2,33.89,35.41
A,RT,F,TOTAL,A_B,ITH4,20.84,23.13,25.42,26.19,30.88,26.71,26.64,25.65,34.0,30.6,27.53,34.17,34.2
A,RT,F,TOTAL,A_B,ITH5,29.06,32.56,35.74,33.61,43.98,36.69,40.6,41.57,41.31,35.72,38.68,44.78,44.45
A,RT,F,TOTAL,A_B,ITI1,22.34,28.36,27.2,29.11,36.7,29.47,35.01,29.48,34.85,30.58,32.66,35.85,34.26
A,RT,F,TOTAL,A_B,ITI2,17.27,23.67,25.43,25.53,32.07,24.42,35.61,34.45,34.35,29.18,36.35,51.48,46.04
A,RT,F,TOTAL,A_B,ITI3,21.5,21.85,20.64,26.23,33.71,26.81,38.46,36.07,38.38,34.29,39.21,40.76,51.97
A,RT,F,TOTAL,A_B,ITI4,13.11,17.03,18.81,18.35,21.18,19.01,23.12,21.12,21.57,18.22,21.12,23.24,26.33
A,RT,F,TOTAL,A_B_OTH,ITC1,23.14,26.11,26.18,24.31,28.62,22.4,24.1,26.22,27.83,25.34,25.72,35.31,36.25
A,RT,F,TOTAL,A_B_OTH,ITC2,15.35,15.35,7.62,10.64,22.91,13.83,13.91,21.76,20.3,25.14,22.17,27.04,20.74
A,RT,F,TOTAL,A_B_OTH,ITC3,19.33,20.22,23.73,23.05,35.06,29.1,35.9,37.33,41.03,35.73,40.18,50.49,45.48
A,RT,F,TOTAL,A_B_OTH,ITC4,13.59,15.69,16.4,19.03,22.47,17.47,19.8,18.77,20.05,21.27,21.27,25.39,25.77
A,RT,F,TOTAL,A_B_OTH,ITF1,7.6,10.83,10.59,11.69,16.71,10.15,21.15,16.72,23.2,17.15,25.55,29.81,32.83
A,RT,F,TOTAL,A_B_OTH,ITF2,3.1,5.61,6.22,8.72,9.41,8.21,12.74,16.11,23.48,23.84,21.51,29.13,33.45
A,RT,F,TOTAL,A_B_OTH,ITF3,4.17,5.32,5.51,5.7,7.68,6.63,9.33,8.07,11.11,9.5,13.47,15.49,18.81
A,RT,F,TOTAL,A_B_OTH,ITF4,7.24,9.77,9.3,9.4,15.13,10.94,14.96,14.99,18.62,16.59,22.32,24.8,30.68
A,RT,F,TOTAL,A_B_OTH,ITF5,6.75,11.54,8.15,10.86,15.01,11.68,19.71,23.42,27.26,20.42,26.09,24.49,31.73
A,RT,F,TOTAL,A_B_OTH,ITF6,6.63,7.87,8.92,9.97,9.31,8.86,12.2,12.07,14.43,12.3,14.0,15.88,21.39
A,RT,F,TOTAL,A_B_OTH,ITG1,4.48,5.27,5.8,7.02,9.6,8.11,8.84,10.62,13.65,12.06,14.05,16.94,17.54
A,RT,F,TOTAL,A_B_OTH,ITG2,7.81,8.83,9.36,11.9,15.36,14.7,17.86,16.84,22.01,17.4,16.66,24.18,28.69
A,RT,F,TOTAL,A_B_OTH,ITH1,10.89,11.65,10.0,12.97,16.71,8.69,12.4,12.71,12.66,19.31,9.67,15.24,14.81
A,RT,F,TOTAL,A_B_OTH,ITH2,13.68,21.46,16.13,16.75,18.19,13.46,18.54,11.96,12.99,14.11,14.54,18.18,23.22
A,RT,F,TOTAL,A_B_OTH,ITH3,13.45,13.94,18.06,16.91,24.66,19.95,21.94,25.74,24.68,25.72,27.42,31.21,33.59
A,RT,F,TOTAL,A_B_OTH,ITH4,16.42,18.38,20.68,20.98,25.18,21.78,23.77,21.48,29.81,27.53,24.76,31.55,32.24
A,RT,F,TOTAL,A_B_OTH,ITH5,21.77,25.64,29.2,27.33,38.36,30.32,34.49,36.68,36.9,31.78,35.94,41.87,41.67
A,RT,F,TOTAL,A_B_OTH,ITI1,16.51,21.42,21.51,22.95,30.27,24.88,29.43,25.11,30.56,27.75,29.92,33.36,32.66
A,RT,F,TOTAL,A_B_OTH,ITI2,11.44,18.46,20.26,22.1,27.55,20.31,32.35,28.97,32.35,27.84,34.11,46.74,44.45
A,RT,F,TOTAL,A_B_OTH,ITI3,18.0,17.83,16.51,22.86,31.33,23.79,34.04,34.03,35.68,32.48,36.85,38.26,50.65
A,RT,F,TOTAL,A_B_OTH,ITI4,8.01,12.27,13.82,14.58,16.65,14.85,19.67,18.4,19.02,15.86,18.75,21.07,24.54
A,RT,F,TOTAL,B15-B19_B942,ITC1,3.64,3.94,3.86,4.55,4.17,4.19,3.41,2.81,1.98,2.18,1.64,2.2,1.84
A,RT,F,TOTAL,B15-B19_B942,ITC2,1.54,,,1.52,1.53,1.54,1.55,3.11,1.56,,,,
A,RT,F,TOTAL,B15-B19_B942,ITC3,5.25,5.33,4.94,4.2,5.2,4.38,4.41,5.08,3.14,3.03,2.29,3.2,2.18
A,RT,F,TOTAL,B15-B19_B942,ITC4,5.97,5.75,5.5,4.58,5.62,5.11,4.49,3.44,3.72,3.25,2.58,2.21,2.03
A,RT,F,TOTAL,B15-B19_B942,ITF1,3.94,5.19,4.7,4.82,5.86,5.59,3.4,2.39,2.71,2.13,1.68,2.15,1.23
A,RT,F,TOTAL,B15-B19_B942,ITF2,4.96,5.61,3.73,4.36,3.76,9.48,1.27,2.58,1.96,1.99,5.38,,2.05
A,RT,F,TOTAL,B15-B19_B942,ITF3,7.46,6.97,6.91,6.83,7.41,6.13,5.05,3.98,3.65,3.72,2.71,3.17,3.07
A,RT,F,TOTAL,B15-B19_B942,ITF4,6.44,7.04,5.1,6.55,6.09,5.92,4.65,4.95,4.03,4.44,2.78,3.49,3.1
A,RT,F,TOTAL,B15-B19_B942,ITF5,10.13,10.18,5.43,5.09,7.85,8.58,7.26,4.54,1.42,4.3,2.17,4.02,2.95
A,RT,F,TOTAL,B15-B19_B942,ITF6,4.75,5.08,5.15,6.81,4.66,4.98,5.2,3.75,2.27,2.61,2.21,2.22,2.87
A,RT,F,TOTAL,B15-B19_B942,ITG1,6.09,5.31,4.99,5.53,4.74,4.69,4.48,3.65,3.34,3.33,2.01,2.18,2.07
A,RT,F,TOTAL,B15-B19_B942,ITG2,6.63,4.77,8.18,5.77,5.32,5.22,5.83,5.41,3.53,2.94,2.59,2.85,3.12
A,RT,F,TOTAL,B15-B19_B942,ITH1,0.39,2.33,0.38,0.76,0.38,1.51,,1.5,0.74,0.37,0.74,0.37,0.74
A,RT,F,TOTAL,B15-B19_B942,ITH2,2.59,7.03,3.66,2.55,4.73,2.18,2.91,1.81,3.25,1.45,2.55,0.73,0.36
